Id,Name,Categories,Species,Lat,Lng,Lat/Lng,"Address Override","Street Num",Street,Suburb,State,Postcode,Country,"Last Known Status",Tags,"Owned By","Contracted To","Map URL","Profile URL"
cd779,Unknown,,,-35.107216,139.239120,"-35.107216, 139.239120","LOT 11 Monarto Rd, Rocky Gully SA 5253, Australia",114A,"Rocky Gully Road","Rocky Gully",SA,5254,Australia,Open,,,,https://www.farmtransparency.org/map?location=cd779,https://www.farmtransparency.org/facilities/cd779-unknown
93971,"Red Crest Poultry (R.A & J.L Rothe)","Farm (meat)",Chickens,-35.109852,139.116989,"-35.109852, 139.116989",,3201,"Old Princes Highway",Monarto,SA,5254,Australia,Open,,,,https://www.farmtransparency.org/map?location=93971,https://www.farmtransparency.org/facilities/93971-red-crest-poultry-ra-jl-rothe
7c23c,"Inghams Monarto - Breeder Farm 5","Farm (meat)",Chickens,-35.129215,139.162048,"-35.129215, 139.162048",,456,"White Road","Monarto South",SA,5254,Australia,Open,"Parent Rearing,Pullet,Parent / Breeder","Inghams Enterprises Pty. Limited",,https://www.farmtransparency.org/map?location=7c23c,https://www.farmtransparency.org/facilities/7c23c-inghams-monarto-breeder-farm-5
8a108,"Berong Poultry Farm","Farm (meat) (unconfirmed)","Chickens (unconfirmed)",-29.021049,153.083206,"-29.021049, 153.083206",,2210,"Coraki Ellangowan Road",Ellangowan,NSW,2470,Australia,Open,,,,https://www.farmtransparency.org/map?location=8a108,https://www.farmtransparency.org/facilities/8a108-berong-poultry-farm
11bbc,"Southern Poultry","Farm (meat)",Chickens,-35.057560,139.378189,"-35.057560, 139.378189",,59,"Eucalyptus Road",Burdett,SA,5253,Australia,Open,,"Robert Sherrah","Inghams Enterprises Pty. Limited",https://www.farmtransparency.org/map?location=11bbc,https://www.farmtransparency.org/facilities/11bbc-southern-poultry
d476f,"Altona Hatchery","Farm (eggs), Hatchery",Chickens,-31.981461,116.017754,"-31.981461, 116.017754","344 Hawtin Rd, Forrestfield WA 6058, Australia",344,"Hawtin Road",Forrestfield,WA,6058,Australia,Closed,Hatchery,,,https://www.farmtransparency.org/map?location=d476f,https://www.farmtransparency.org/facilities/d476f-altona-hatchery
67e79,"Orland Poultry","Farm (meat)",Chickens,-35.186348,139.407669,"-35.186348, 139.407669","LOT 4 Orland Rd, Kepa SA 5259, Australia",,"Orland Road",Kepa,SA,5259,Australia,Open,,,,https://www.farmtransparency.org/map?location=67e79,https://www.farmtransparency.org/facilities/67e79-orland-poultry
42a35,"Kepa Road Piggery","Farm (meat)",Pigs,-35.154575,139.389389,"-35.154575, 139.389389","Kepa Rd, Kepa SA 5253, Australia",,"Kepa Road",Kepa,SA,5259,Australia,Open,,"Sunpork Pty Ltd",,https://www.farmtransparency.org/map?location=42a35,https://www.farmtransparency.org/facilities/42a35-kepa-road-piggery
c6df1,"Casaccio G & Sons (Egg Farm and Hatchery)","Farm (eggs), Hatchery",Chickens,-37.911049,144.626999,"-37.911049, 144.626999",,170-198,"Bulban Road",Werribee,VIC,3030,Australia,Open,"Cage,Hatchery",,,https://www.farmtransparency.org/map?location=c6df1,https://www.farmtransparency.org/facilities/c6df1-casaccio-g-sons-egg-farm-hatchery
0a6ec,"Cappola F","Farm (eggs)",Chickens,-37.635666,145.126129,"-37.635666, 145.126129","55-61 Ashley Rd, Yarrambat VIC 3091, Australia",55-61,"Ashley Road",Yarrambat,VIC,3091,Australia,Open,,,,https://www.farmtransparency.org/map?location=0a6ec,https://www.farmtransparency.org/facilities/0a6ec-cappola-f
6f3fd,"Pineview Poultry","Farm (meat)",Chickens,-35.040897,139.395370,"-35.040897, 139.395370",,153,"Bowhill Road",Burdett,SA,5253,Australia,Open,,"Robert Sherrah","Inghams Enterprises Pty. Limited",https://www.farmtransparency.org/map?location=6f3fd,https://www.farmtransparency.org/facilities/6f3fd-pineview-poultry
305cc,"Research Poultry Farm & Hatchery","Farm (eggs) (unconfirmed)","Chickens (unconfirmed)",-37.693733,145.193115,"-37.693733, 145.193115","290 Allendale Rd, Research VIC 3095, Australia",290,"Allendale Road",Research,VIC,3095,Australia,Open,Hatchery,,,https://www.farmtransparency.org/map?location=305cc,https://www.farmtransparency.org/facilities/305cc-research-poultry-farm-hatchery
c9a51,"Beulah Park","Farm (meat)",Chickens,-37.719193,145.386963,"-37.719193, 145.386963","736-738 Maroondah Hwy, Coldstream VIC 3770, Australia",736-738,"Maroondah Highway",Coldstream,VIC,3770,Australia,Open,,,,https://www.farmtransparency.org/map?location=c9a51,https://www.farmtransparency.org/facilities/c9a51-beulah-park
e18a0,"Formerly Anderson Poultry Farm","Farm (meat)",Chickens,-32.185329,116.014221,"-32.185329, 116.014221","16 Eleventh Rd, Wungong WA 6112, Australia",16,"Eleventh Road",Wungong,WA,6112,Australia,Closed,,,,https://www.farmtransparency.org/map?location=e18a0,https://www.farmtransparency.org/facilities/e18a0-formerly-anderson-poultry-farm
a5a3c,"Stratheden Glen 1-6 Broiler Farm","Farm (meat)",Chickens,-28.732515,152.947205,"-28.732515, 152.947205",,320,"Mcdonalds Bridge Road",Stratheden,NSW,2470,Australia,Open,,"Darwalla Poultry Distributors",,https://www.farmtransparency.org/map?location=a5a3c,https://www.farmtransparency.org/facilities/a5a3c-stratheden-glen-1-6-broiler-farm
c4ffa,"Treeby Egg Farm","Farm (meat)",Chickens,-32.209393,115.857956,"-32.209393, 115.857956",,727,"Anketell Road",Wandi,WA,6167,Australia,Open,,,,https://www.farmtransparency.org/map?location=c4ffa,https://www.farmtransparency.org/facilities/c4ffa-treeby-egg-farm
d3de8,Unknown,,,-28.949829,153.491852,"-28.949829, 153.491852","154 Sneesbys Ln, East Wardell New South Wales 2477, Australia",129,"Sneesbys Lane","East Wardell",NSW,2477,Australia,Open,,,,https://www.farmtransparency.org/map?location=d3de8,https://www.farmtransparency.org/facilities/d3de8-unknown
178bd,Unknown,,,-28.946966,153.498383,"-28.946966, 153.498383",,34,"O'keefes Lane","East Wardell",NSW,2477,Australia,Open,,,,https://www.farmtransparency.org/map?location=178bd,https://www.farmtransparency.org/facilities/178bd-unknown
6bfba,"Bett E & S J & Son","Farm (meat)",Chickens,-32.281040,115.975517,"-32.281040, 115.975517",,14,"Mulberry Avenue",Mundijong,WA,6123,Australia,Open,,,,https://www.farmtransparency.org/map?location=6bfba,https://www.farmtransparency.org/facilities/6bfba-bett-e-s-j-son
cbb8d,"Meredith Rearing Farm (Valley Park Farm Pty Ltd)","Farm (meat)",Chickens,-37.881416,144.081085,"-37.881416, 144.081085",,3920,"Midland Highway",Meredith,VIC,3333,Australia,Open,,,"Turosi Farming Pty Ltd",https://www.farmtransparency.org/map?location=cbb8d,https://www.farmtransparency.org/facilities/cbb8d-meredith-rearing-farm-valley-park-farm-pty-ltd
3ec6d,"Wohlfahrt Chooks","Farm (meat)",Chickens,-17.045004,145.322006,"-17.045004, 145.322006",,28,"North Walsh Road",Arriga,QLD,4880,Australia,Open,,,,https://www.farmtransparency.org/map?location=3ec6d,https://www.farmtransparency.org/facilities/3ec6d-wohlfahrt-chooks
90d85,"Aungooska Farm","Farm (meat) (unconfirmed)",,-17.039383,145.320114,"-17.039383, 145.320114",,1638,"Mareeba - Dimbulah Road",Arriga,QLD,4880,Australia,Open,,,,https://www.farmtransparency.org/map?location=90d85,https://www.farmtransparency.org/facilities/90d85-aungooska-farm
09483,"Mt Abbott Poultry Farm","Farm (meat)",Chickens,-17.037926,145.385788,"-17.037926, 145.385788",,59,"Martin Road",Chewko,QLD,4880,Australia,Open,,,,https://www.farmtransparency.org/map?location=09483,https://www.farmtransparency.org/facilities/09483-mt-abbott-poultry-farm
65796,"Wohlfahrt  - Graceland","Farm (meat)",Chickens,-17.043716,145.310883,"-17.043716, 145.310883",,90,"North Walsh Road",Arriga,QLD,4880,Australia,Open,,"Shaban Latif",,https://www.farmtransparency.org/map?location=65796,https://www.farmtransparency.org/facilities/65796-wohlfahrt-graceland
aa487,"Gill Farm","Farm (meat)",Chickens,-38.230095,145.222702,"-38.230095, 145.222702",,71,"Dandenong-Hastings Road",Somerville,VIC,3912,Australia,Open,RSPCA-approved,,"Turosi Farming Pty Ltd",https://www.farmtransparency.org/map?location=aa487,https://www.farmtransparency.org/facilities/aa487-gill-farm
17f43,"Quasit Broiler Farm","Farm (meat)",Chickens,-38.253197,145.108795,"-38.253197, 145.108795",,271a,"Mornington-Tyabb Road",Moorooduc,VIC,3933,Australia,Open,"Free Range,","Quasit Pty Ltd","Inghams Enterprises Pty. Limited",https://www.farmtransparency.org/map?location=17f43,https://www.farmtransparency.org/facilities/17f43-quasit-broiler-farm
9c192,"Hillcrest Poultry","Farm (meat), Farm (eggs)",Chickens,-38.198318,145.201706,"-38.198318, 145.201706","475 Baxter-Tooradin Rd, Langwarrin South VIC 3911, Australia",475,"Baxter-Tooradin Road","Langwarrin South",VIC,3911,Australia,Open,Growers,"K & D Marshall Pty Ltd","Turosi Farming Pty Ltd",https://www.farmtransparency.org/map?location=9c192,https://www.farmtransparency.org/facilities/9c192-hillcrest-poultry
7ed72,"Crosilva Poultry Farm","Farm (eggs)",Chickens,-31.926241,116.020348,"-31.926241, 116.020348","255 Midland Rd, Hazelmere WA 6055, Australia",251,"Midland Road",Hazelmere,WA,6055,Australia,Open,Cage,,,https://www.farmtransparency.org/map?location=7ed72,https://www.farmtransparency.org/facilities/7ed72-crosilva-poultry-farm
5eee4,"Bingil Bay Poultry","Farm (meat)",Chickens,-16.875704,145.723633,"-16.875704, 145.723633",,412,"Kamerunga Road",Barron,QLD,4878,Australia,Open,,,,https://www.farmtransparency.org/map?location=5eee4,https://www.farmtransparency.org/facilities/5eee4-bingil-bay-poultry
