approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
LT 91-04,Ūkininkė Jūratė Ancikienė,"Marmų kaimas , Kužių sen. Šiaulių rajonas",Marmų k.,LT-81112,Siauliai County,Lithuania,PM,SH,Y,,SH - Slaughterhouse,,
LT49-06EB,"ŽŪB ,,Nematekas""","Uolės g. 10, Dovainonių k., Rumšiškių sen., Kaišiadorių r. sav.",Dovainonys,LT-56335,Kaunas County,Lithuania,PM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
LT75-04EB,G. Šlinsko individuali įmonė,"Vingio g. 5, Gėsalų k., Aleksandrijos sen., Skuodo r. sav.",Aleksandrija,LT-98333,Klaipeda County,Lithuania,GM,SH,Y,,SH - Slaughterhouse,,
LT 41-12,MB Avidus,Švenčionių g. 114,Nemenčinė,LT-15168,Vilnius County,Lithuania,GM,SH,Y,,SH - Slaughterhouse,,
LT 47- 04,Sigitas Petraitis ŪKININKO ŪKIS,"Sodų g.2, Ziniūnai, Joniškio r. sav.",Ziniūnai,LT-84143,Siauliai County,Lithuania,GM,SH,Y,,SH - Slaughterhouse,,
LT62-02 EB,UAB Alantos agroservisas,"Molėtų r. sav., Alanta, Sodo al. 2D",Alanta,LT-33312,Utena County,Lithuania,GM,SH,Y,,SH - Slaughterhouse,,
LT 41-05 EB,UAB Cesta,Riešės g. 10,Riešė,LT-14260,Vilnius County,Lithuania,GM,SH,Y,porcine,SH - Slaughterhouse,,
LT 01-24,UAB Medrokis,"Eišiškių pl. 127, Vilnius",Vilnius,02189,Vilnius County,Lithuania,GM,CP,N,,CP - Cutting Plant,,
01-41,UAB RIMI LIETUVA,"Saltoniškių g. 9, Vilnius",Vilnius,08105,Vilnius County,Lithuania,GM,CP,N,,CP - Cutting Plant,,
49-13,UAB Zūbiškių konservai,"Kaštonų g. 3, Zūbiškės, Palemonės sen., Kaišiadorių raj.",Zūbiškės,LT-56176,Kaunas County,Lithuania,GM,CP,N,,CP - Cutting Plant,,
LT 81-04,Ūkininkas Donatas Čepelis,Vidiškių sen.Baublių k.,Baubliai,LT-20179,Vilnius County,Lithuania,GM,SH,Y,,SH - Slaughterhouse,,
LT 42-05,Ūkininko Gintauto Migonio gyvulių skerdykla,"Elektrėnų sav., Pastrėvio sen., Lunkiškių k. 3A",Lunkiškės,,Vilnius County,Lithuania,GM,SH,Y,,SH - Slaughterhouse,,
53-15,UAB ŽVĖRIENA LT,"Kūjėnų k.2, Vilainių sen., Kėdainių r",Kūjėnai II,LT-58411,Kaunas County,Lithuania,WM,CP GHE,N,,CP - Cutting Plant | GHE - Game-Handling Establishment,,
LT66-07 EB,UAB Aukštaitijos žvėriena,"Naruševičiaus g. 103, Molainių k., Panevėžio r., LT-37175",Panevežys,35100,Panevezys County,Lithuania,WM,GHE CP,N,,GHE - Game-Handling Establishment | CP - Cutting Plant,,
68-13,UAB Hantera,"Paežerės g. 5, Paluokės k., Plungės r. sav.",Paluokė,LT-90441,Telsiai County,Lithuania,WM,GHE,N,,GHE - Game-Handling Establishment,,
