approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
DE EZ 829,Klaas + Pitsch Fleisch- und Wurstwaren GmbH,Industriestraße 51,Freudenberg,57258,"Kreis Siegen-Wittgenstein,Regierungsbezirk Arnsberg,North Rhine-Westphalia",Germany,RM,CP,N,bovine equine porcine,CP - Cutting Plant,,
NW90007,Klaus Gebing GmbH & Co. KG,Goethestr. 10,Legden,48739,"Kreis Borken,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
EZ 592,Klein Geflügelfeinkost GmbH & Co. KG,Schmiedestraße 3,Drensteinfurt,48317,"Kreis Warendorf,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,CP,N,,CP - Cutting Plant,,
DE NW 70082,Kremer Qualitätsfleisch GmbH,OT Neuehrenfeld Liebigstraße 120,Cologne,50823,"Cologne,Cologne Government Region,North Rhine-Westphalia",Germany,RM,CP,N,,CP - Cutting Plant,,
DE SL 30277,Kunzler Fleischwarenfabrik GmbH & Co. KG,Ott-Kunzler-Straße 1,Überherrn,66802,"Landkreis Saarlouis,Saarland",Germany,RM,CP,N,,CP - Cutting Plant,,
DE EZ 722 EG,Kurt Heinrich Kemink GmbH & Co. KG,Gelderblomstr. 1,Duisburg,47138,"Duisburg,Regierungsbezirk Düsseldorf,North Rhine-Westphalia",Germany,RM,CP,N,porcine bovine,CP - Cutting Plant,,
DE NI 11750 EG,LTC Lohner Tiefkühl Center GmbH,Krimpenforter Berg 3,Lohne (Oldenburg),49393,"Landkreis Vechta,Lower Saxony",Germany,RM,CP,N,,CP - Cutting Plant,,
DE ES 1546 EG,Laame GmbH & Co.KG,Buchenhofen 26,Wuppertal,42329,"Wuppertal,Regierungsbezirk Düsseldorf,North Rhine-Westphalia",Germany,RM,SH,Y,bovine ovine,SH - Slaughterhouse,,
DE NW 40023 EG,Laame GmbH & Co.KG,Buchenhofen 26,Wuppertal,42329,"Wuppertal,Regierungsbezirk Düsseldorf,North Rhine-Westphalia",Germany,RM,CP,N,bovine,CP - Cutting Plant,,
DE BW 05036 EG,Lackmann Fleisch- und Feinkostfabrik GmbH,Carl-Benz-Straße 10,Willstätt,77731,"Ortenaukreis,Regierungsbezirk Freiburg,Baden-Württemberg",Germany,RM,CP,N,bovine equine ovine porcine caprine,CP - Cutting Plant,,
DE BW 13015 EG,Lamm-Metzgerei Färber,Aalener Str. 2,Königsbronn,89551,"Landkreis Heidenheim,Regierungsbezirk Stuttgart,Baden-Württemberg",Germany,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
DE RP 21019 EG,"Landfleischerei Keller, Stephan",Wasgauschäferei 2,Busenberg,76891,"Landkreis Südwestpfalz,Rhineland-Palatinate",Germany,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
DE RP 05048,Landmetzgerei Bartz,Kreuzerweg 24,Prüm,54595,"Eifelkreis Bitburg-Prüm,Rhineland-Palatinate",Germany,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
DE RP 05011 EG,Landmetzgerei Bartz,Hillstraße 29,Spangdahlem,54529,"Eifelkreis Bitburg-Prüm,Rhineland-Palatinate",Germany,RM,SH,Y,bovine,SH - Slaughterhouse,,
DE RP 22010 EG,Landmetzgerei Lothar Klos,Bahnhofstraße 3,Zerf,54314,"Landkreis Trier-Saarburg,Rhineland-Palatinate",Germany,RM,CP,N,bovine porcine,CP - Cutting Plant,,
DE SL-ES-001 EG,Landmetzgerei Walter Austgen,Hausbacher Str. 22,Merzig,66663,"Landkreis Merzig-Wadern,Saarland",Germany,RM,SH,Y,bovine porcine,SH - Slaughterhouse,,
DE SH 00111,Landschlachterei Petersen GmbH & Co.KG,Engbrück 2,Bollingstedt,24855,"Kreis Schleswig-Flensburg,Schleswig-Holstein",Germany,RM,SH,Y,,SH - Slaughterhouse,,
DE BY 70258 EG,Landwirtschaftliche Schlachtgemeinschaft Oberstdorf-Kleinwalsertal e.V.,Rubinger Str. 33,Oberstdorf,87561,"Landkreis Oberallgäu,Swabia,Bavaria",Germany,RM,SH,Y,bovine caprine ovine porcine equine,SH - Slaughterhouse,,
DE ES 330 EG,Leine Fleisch GmbH,Oesseler Str 44,Laatzen,30880,"Region Hannover,Lower Saxony",Germany,RM,SH,Y,porcine,SH - Slaughterhouse,,
DE091821190501,Leonhard Reischl,Rain 43,Hausham,83734,"Landkreis Miesbach,Upper Bavaria,Bavaria",Germany,RM,SH,Y,,SH - Slaughterhouse,,
DE NW 81904,Libreco Food Service GmbH & Co. KG,Europastraße 12,Gelsenkirchen,45888,"Gelsenkirchen,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,CP,N,,CP - Cutting Plant,,
DE NW 10393,Lilyum Helal Fleisch GmbH,Heiliger Weg 60,Dortmund,44135,"Dortmund,Regierungsbezirk Arnsberg,North Rhine-Westphalia",Germany,RM,CP,N,,CP - Cutting Plant,,
DE NW 20133,Linex Handelsgesellschaft mbH,Im Hengstfeld 28,Lemgo,32657,"Kreis Lippe,Regierungsbezirk Detmold,North Rhine-Westphalia",Germany,RM,CP,N,,CP - Cutting Plant,,
DE BY 70718 EG,Lohnschlächterei Werner Schönberg,Mühlenbergstraße 49,Waltenhofen,87448,"Landkreis Oberallgäu,Swabia,Bavaria",Germany,RM,CP SH,Y,bovine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
DE NW 70587,"MIRAN GmbH, ALASKA Fleisch",Heidestraße 216,Cologne,51147,"Cologne,Cologne Government Region,North Rhine-Westphalia",Germany,RM,CP,N,bovine ovine,CP - Cutting Plant,,
DE NI 10152,MJM Meatprocessing & Handels GmbH,Mühlenstraße 3,Friesoythe,26169,"Landkreis Cloppenburg,Lower Saxony",Germany,RM,CP,N,,CP - Cutting Plant,,
DE NW 00023,Mahmud Fleischhandel GmbH,Heisenbergstraße 6,Unna,59423,"Kreis Unna,Regierungsbezirk Arnsberg,North Rhine-Westphalia",Germany,RM,CP,N,,CP - Cutting Plant,,
DE NW 50023 EG,Marlies Lupp,Landstraße 82,Grevenbroich,41516,"Rhein-Kreis Neuss,Regierungsbezirk Düsseldorf,North Rhine-Westphalia",Germany,RM,SH,Y,bovine caprine ovine,SH - Slaughterhouse,,
DE NW 84005 EG,Martin Telaar GmbH,Im Jägeringshof 17,Bocholt,46399,"Kreis Borken,Regierungsbezirk Münster,North Rhine-Westphalia",Germany,RM,CP SH,Y,bovine caprine porcine ovine equine,CP - Cutting Plant | SH - Slaughterhouse,,
071400670061,Mathias Piroth,Dickenschieder Str. 23,Kirchberg (Hunsrück),55481,"Rhein-Hunsrück-Kreis,Rhineland-Palatinate",Germany,RM,SH,Y,,SH - Slaughterhouse,,
DE SH 00458 EG,Mathilde Balzer GmbH & Co. KG,Kurt-Fischer-Straße 45,Ahrensburg,22926,"Kreis Stormarn,Schleswig-Holstein",Germany,RM,CP,N,bovine ovine,CP - Cutting Plant,,
