approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
CZ 530,"SPEKTRUM, spol. s r. o.","U Jatek 294, 58813 Polná",Polná,58813,"Kraj Vysočina,Southeast",Czechia,RM,SH,Y,bovine porcine,SH - Slaughterhouse,,
CZ 608,"STATEK BOR ZEOS, spol. s r. o. - jatky s malou kapacitou","Šemnice 9, 36272 Šemnice",Šemnice,36272,"Karlovarský kraj,Northwest",Czechia,RM,CP SH,Y,bovine caprine ovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 6005,STEINEX a.s.,"Zámecká 2019/13, 66434 Kuřim",Kuřim,,"Jihomoravský kraj,Southeast",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ 31850186,"Statek Horní Dvorce, s.r.o.","Horní Dvorce č. p. 22, 37853 Zahrádky",Zahrádky,37853,"Jihočeský kraj,Southwest",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
CZ 42910129,Statek Oblík,Raná č. p. 28,Raná,43924,"Ústecký kraj,Northwest",Czechia,RM,CP SH,Y,ovine caprine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 31940298,Statek U Misařů Jilem,"Jilem č. p. 62, 37856 Jilem",Jilem,,"Jihočeský kraj,Southwest",Czechia,RM,CP,N,,CP - Cutting Plant,,
CZ 25620,"Steinhauser, s.r.o. - jatky Skalice nad Svitavou","Skalice nad Svitavou 169, 67901 Skalice nad Svitavou",Skalice nad Svitavou,,"Jihomoravský kraj,Southeast",Czechia,RM,CP SH,Y,bovine caprine porcine ovine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 6004,"Strejček, s.r.o. - Přípravna masa a masná výrobna","Palackého náměstí 76/12, Řečkovice, 62100 Brno",00 Brno,621,"Jihomoravský kraj,Southeast",Czechia,RM,CP,N,bovine porcine,CP - Cutting Plant,,
CZ31840141,Stycore s.r.o.,"Žižkova 483, Veselí nad Lužnicí II, 39181 Veselí nad Lužnicí",Veselí nad Lužnicí,39181,"Jihočeský kraj,Southwest",Czechia,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 1176,TORO VM a.s.,"Pražské Předměstí, Hradecká 251, 56601 Vysoké Mýto",Vysoké Mýto,53865,"Pardubický kraj,Northeast",Czechia,RM,SH,Y,,SH - Slaughterhouse,,
CZ 563,"Těšínské jatky, s.r.o.",Na Olšinách 1,Český Těšín,73701,"Moravskoslezský kraj,Moravia-Silesia",Czechia,RM,CP SH,Y,bovine porcine,CP - Cutting Plant | SH - Slaughterhouse,,
CZ 600,"Uzeniny Příbram, a.s.",Jinecká 315,01 Příbram,261,"Středočeský kraj,Central Bohemia",Czechia,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
