approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
2242,Kødgrossisten,Industrivænget 16,Vemmelev,4241,"Slagelse Municipality,Region Zealand",Denmark,RM,CP,N,,CP - Cutting Plant,,
4639,Kødland Lammeslagteri,Højen Skovvej 178,Vejle,7100,"Vejle Municipality,Region of Southern Denmark",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
5813,Køkkenområdet Hjørring Kommune,M. P. Kofoeds Vej 1,Hjørring,9800,"Hjørring Municipality,North Denmark Region",Denmark,RM,CP,N,,CP - Cutting Plant,,
1441,Landmand Ole Toft Thøgersen,Næssundvej 362,Karby,7960,"Morsø Municipality,North Denmark Region",Denmark,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
2062,Leif Henriksen spegepølser og røgvarer,Kragemosevej 5,Slagelse,4200,"Slagelse Municipality,Region Zealand",Denmark,RM,CP,N,,CP - Cutting Plant,,
892,Lineage Regstrup ApS,Virkelyst 7,Regstrup,4420,"Holbæk Municipality,Region Zealand",Denmark,RM,CP,N,,CP - Cutting Plant,,
4608,MB Food A/S,Korskildeeng 3,Greve,2670,"Greve Municipality,Region Zealand",Denmark,RM,CP,N,,CP - Cutting Plant,,
894,MOESGAARD MEAT 2012 A/S,Naurvej 3A,Holstebro,7500,"Holstebro Municipality,Central Denmark Region",Denmark,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
1214,Maglebrænde Slagtehus,Maglebrænde 2,Stubbekøbing,4850,"Guldborgsund Municipality,Region Zealand",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
1437,Mariager Slagtehus,Havnegade 5,Mariager,9550,"Mariagerfjord Municipality,North Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
4837,Mina Istanbul Kebab Produktion ApS,Smedeland 36,Glostrup,2600,"Glostrup Municipality,Capital Region of Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
843,Mogens Nielsen Kreaturslagteri A/S,Håndværkervej 39,Herlufmagle,4160,"Naestved Municipality,Region Zealand",Denmark,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
2650,NAOKI,Avedøreholmen 96,Hvidovre,2650,"Hvidovre Municipality,Capital Region of Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
6368,Nairab Food,Hejrevej 30,København NV,2400,"Copenhagen Municipality,Capital Region of Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
5340,Nordthy Meat ApS,Trehøjevej 29,Grindsted,7200,"Billund Municipality,Region of Southern Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
1217,Nr. Asmindrup Slagtehus ApS,Gl Nykøbingvej 78,Nørre Asmindrup,4572,"Odsherred Municipality,Region Zealand",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
1469,Nr. Onsild Slagterhus ApS,Rævebakken 2,Hobro,9500,"Mariagerfjord Municipality,North Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
4595,Nr. Snede Slagtehus,Fællesvej 24,Nørre Snede,8766,"Ikast-Brande Municipality,Central Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
2170,Nr.Søby Kød Engros A/S,Nymarksgyden 5,Årslev,5792,"Faaborg-Midtfyn Municipality,Region of Southern Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
226,OK Snacks A/S,Holmevej 6,Ejstrupholm,7361,"Ikast-Brande Municipality,Central Denmark Region",Denmark,RM,CP,N,,CP - Cutting Plant,,
1218,OMK Knabstrup ApS,Holbækvej 328,Mørkøv,4440,"Holbæk Municipality,Region Zealand",Denmark,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
1216,Ole Olsen Slagtehus,Stationsvej 29,Dalmose,4261,"Slagelse Municipality,Region Zealand",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
6691,Procater ApS,Ribevej 6,Randers,8940,"Randers Municipality,Central Denmark Region",Denmark,RM,CP,N,,CP - Cutting Plant,,
4433,Randers Kød Engros ApS,Haraldsvej 60,Randers SØ,8960,"Randers Municipality,Central Denmark Region",Denmark,RM,CP,N,,CP - Cutting Plant,,
2238,"Ravsted Slagteri, slagteri",Ravsted Storegade 35,Bylderup-Bov,6372,"Aabenraa Municipality,Region of Southern Denmark",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
5651,Rævhede,Sandmosevej 84,Aabybro,9440,"Jammerbugt Municipality,North Denmark Region",Denmark,RM,CP,N,,CP - Cutting Plant,,
1297,"SLM. PER HAMKENS, slagteri",Østergade 18,Rødding,6630,"Vejen Municipality,Region of Southern Denmark",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
6287,Saray Food A/S,Sleipnersvej 10,Ringsted,4100,"Ringsted Municipality,Region Zealand",Denmark,RM,CP,N,,CP - Cutting Plant,,
1399,Sevel Slagteri A/S,Søgårdvej 28,Vinderup,7830,"Holstebro Municipality,Central Denmark Region",Denmark,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
2164,Silkeborg Slagteren A/S,Hagemannsvej 10,Silkeborg,8600,"Silkeborg Municipality,Central Denmark Region",Denmark,RM,CP,N,,CP - Cutting Plant,,
5685,"Skallebølle Slagtehus ApS, Slagteri",Odensevej 153,Vissenbjerg,5492,"Assens Municipality,Region of Southern Denmark",Denmark,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
834,Skare Meat Packers K/S,Industrivej Syd 1,Vejen,6600,"Vejen Municipality,Region of Southern Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
1234,Slagtehuset Nykøbing F ApS,Sydhavnsgade 1,Nykøbing Falster,4800,"Guldborgsund Municipality,Region Zealand",Denmark,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
6171,"Slagter Engdahl, slagteri, v/ Morten og Jesper Engdahl",Industriparken 10,Holeby,4960,"Lolland Municipality,Region Zealand",Denmark,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
5898,Slagter Sørensen ApS,Fabriksvej 14,Videbæk,6920,"Ringkøbing-Skjern Municipality,Central Denmark Region",Denmark,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
872,Slagter Theilgaard A/S,Oddesundvej 25,Esbjerg N,6715,"Esbjerg Municipality,Region of Southern Denmark",Denmark,RM,CP,N,,CP - Cutting Plant,,
1287,"Slagtergården Als, slagteri",Smedevænget 16,Nordborg,6430,"Sønderborg Municipality,Region of Southern Denmark",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
1207,Slagtermester Jan Lund,Høvevej 65,Asnæs,4550,"Odsherred Municipality,Region Zealand",Denmark,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
1366,"Slagtermester Torben Jakobsen, Slagteri",Snødevej 114,Tranekær,5953,"Langeland Municipality,Region of Southern Denmark",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
5422,Slawteren i Tørring v/Rene Pilgaard,Bruuns Plantage Vej 1,Havndal,8970,"Randers Municipality,Central Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
1450,Snæbum Slagtehus,Snæbumvej 40,Hobro,9500,"Mariagerfjord Municipality,North Denmark Region",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
1209,Stensved Slagtehus ApS,Vådebjergvej 2,Stensved,4773,"Vordingborg Municipality,Region Zealand",Denmark,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
6286,"Stensved Slagtehus, Engros opskæring",Krøjevej 10,Vordingborg,4760,"Vordingborg Municipality,Region Zealand",Denmark,RM,CP,N,,CP - Cutting Plant,,
1261,Stubbekøbing Slagtehus ApS,Orevej 7,Stubbekøbing,4850,"Guldborgsund Municipality,Region Zealand",Denmark,RM,SH,Y,,SH - Slaughterhouse,,
804,"Svendborg Slagtehus A/S, slagteri",Porthusvej 75,Svendborg,5700,"Svendborg Municipality,Region of Southern Denmark",Denmark,RM,SH CP,Y,,SH - Slaughterhouse | CP - Cutting Plant,,
