approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
6479,Kivipyykintie lihankäsittelylaitos / Johan i Hallen & Bergfalk Oy,Kivipyykintie 1,Vantaa,01260,"Uusimaa,Southern Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
272-1,Kokkolan Ammattiopisto,Närvilänkatu 8,Kokkola,67100,"Keski-Pohjanmaa,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
232-4,Kometos Mobile-teurastamo,Keskustie 23,Kauhajoki,61800,"South Ostrobothnia,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,SH,Y,,SH - Slaughterhouse,,
3081,Kotkan Lihamestarit Oy,Vasaratie 8 B,Kotka,48400,"Kymenlaakso,Southern Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
305-1,Kuusamon Liha- ja Pakkauspalvelu M. Määttä,Eskontie 16,Kuusamo,93600,"Northern Ostrobothnia,Regional State Administrative Agency for Northern Finland,Northern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
507-2,Kuvalan Liha Tmi,Kuvalanranta 5,Mäntyharju,52730,"Southern Savonia,Regional State Administrative Agency for Eastern Finland,Eastern Finland,Mainland Finland",Finland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
6150,Laidun Hereford Oy,Kainaston Keskustie 7,Teuva,64700,"South Ostrobothnia,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
319-1,Lallin Lammas Oy,Mikolanlenkki 80,Köyliö,27910,"Satakunta,South-Western Finland,Southern Finland,Mainland Finland",Finland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
3631,Landeli Group Oy,Länsi-Avantintie 8,Lieto,21420,"Finland Proper,South-Western Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
1948,Landeli Group Oy Huittisten laitos,Takkulantie 11,Huittinen,32700,"Satakunta,South-Western Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
5703,Lapin Gourmetkokit Tmi,Koppelotieva 28,Sattanen,99600,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
5331,Lapin Jaloste Oy,Teerivaarantie 2,Ranua,97700,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
5361,Lapin Liha Oy,Ahjotie 9,Rovaniemi,96100,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,RM,SH,Y,,SH - Slaughterhouse,,
331,Lapin Poro ja Riista Oy,Nikkarinkuja 5,Rovaniemi,96910,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
5364,Leivejoen Liha Oy,Selkäläntie 18,Muurola,,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
261-2,Levi Food Oy,Pakatintie 371,Kittilä,99100,"Lapland,Lapland,Northern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
5,Liha Hietanen Oy,Pääkkösentie 59,Sastamala,38200,"Pirkanmaa,Western and Central Finland,Western Finland,Mainland Finland",Finland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
3252,Liha Meronen,Sopenkorvenkatu 6,Lahti,15800,"Päijät-Häme,Southern Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
044-1,Liha REM Oy,Kymenrannantie 106,Kausala,47400,"Päijät-Häme,Southern Finland,Southern Finland,Mainland Finland",Finland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
426-1,Lihakartano Juhani Tuomela,Riihilahdentie 9,Liperi,83450,"North Karelia,Regional State Administrative Agency for Eastern Finland,Eastern Finland,Mainland Finland",Finland,RM,CP SH,Y,,CP - Cutting Plant | SH - Slaughterhouse,,
091-10,Lihakauppa Roslund Oy,Työpajakatu 2,Helsinki,00580,"Uusimaa,Southern Finland,Southern Finland,Mainland Finland",Finland,RM,CP,N,,CP - Cutting Plant,,
