approval_number,name,address,city,postcode,region,country,section,activity,slaughter,species,remarks,date_of_approval,publication_date
BG0901007,"""Aгрофарз"" ЕООД","ул. ""Омуртаг"" №4, вх.В, Ет 2, ап.34",Kardzhali,6600,Kardzhali,Bulgaria,RM,SH,Y,bovine caprine ovine,SH - Slaughterhouse,,
BG 1141020,"""Bioferma Ablanitsa""EOOD",ПИ 0028.149.51,Ablanitsa,5503,Lovech,Bulgaria,RM,SH,Y,bovine,SH - Slaughterhouse,,
BG1901005,"""Dulo - Alfa"" EOOD","ul.""Nikola Petkov""24, obl.Silistra",Дулово,7500,Silistra,Bulgaria,RM,SH,Y,bovine ovine porcine,SH - Slaughterhouse,,
BG2501014,"""ENOLA MES"" LTD","Ul. ""G. Kirkov"" 7A",Zdravets,7700,Targovishte,Bulgaria,RM,SH CP,Y,ovine porcine,SH - Slaughterhouse | CP - Cutting Plant,,
BG1001003,"""EURO MEAT & MILK"" LTD",farmyard,Kocherinovo,2640,Kyustendil,Bulgaria,RM,SH,Y,bovine ovine porcine caprine,SH - Slaughterhouse,,
BG1901003,"""Edrina"" OOD","ul.""Silistra""52, obl.Silistra",Tutrakan,7600,Silistra,Bulgaria,RM,SH,Y,ovine porcine,SH - Slaughterhouse,,
BG0901018,"""Evromes-2012"" EOOD",с.Енчец. общ.Кърджали,Enchets,6600,Kardzhali,Bulgaria,RM,SH,Y,bovine,SH - Slaughterhouse,,
BG 1101019,"""Irnik Treyd""OOD","s.Aglen, ul.""Iglen""17",Aglen,5791,Lovech,Bulgaria,RM,CP,N,,CP - Cutting Plant,,
BG 1101014,"""KOOPDOVERIE LESIDREN""""EOOD","ul.""Sandzher""26",Lesidren,5503,Lovech,Bulgaria,RM,SH,Y,caprine bovine ovine porcine,SH - Slaughterhouse,,
BG1504003,"""MIKROART""LTD","str."" Lulin""№4",Белене,5930,Pleven,Bulgaria,RM,CP,N,porcine bovine,CP - Cutting Plant,,
BG 1101010,"""Mesokombinat - Ruse""AD","ul.""Byalo more""12",Lovech,5500,Lovech,Bulgaria,RM,CP,N,,CP - Cutting Plant,,
BG1504014,"""PLEVEN MES"" LTD","ул."" Вит"" № 9",Yasen,5805,Pleven,Bulgaria,RM,CP,N,bovine porcine,CP - Cutting Plant,,
BG 1101021,"""Restoranti Dobrevski""OOD","ul.""Aleksandar Stamboliyski""60",Balgarski Izvor,5503,Lovech,Bulgaria,RM,SH,Y,bovine caprine ovine,SH - Slaughterhouse,,
BG2441001,"""SHIPKA-2013"" EOOD","gr. Shipka, ul. ""Zapadna zona"" 1, obsht. Kazanlak, obl. Stara Zagora",Shipka,6100,Stara Zagora,Bulgaria,RM,SH,Y,bovine,SH - Slaughterhouse,,
BG 1101012,"""Zyumbilski""OOD","ul. ""Akademik Aleksandar Balevski"" 5",Troyan,5600,Lovech,Bulgaria,RM,SH,Y,caprine ovine porcine,SH - Slaughterhouse,,
BG2805016,"""Елхово Мес"" ЕООД / Elhovo Mes EOOD","Elhovo, mestnost ""Bozalaka"", obl.Yambol",Yambol,8600,Yambol,Bulgaria,RM,CP,N,porcine bovine,CP - Cutting Plant,,
BG2805012,"""При Ваня"" ЕООД / Pri Vanya EOOD","Yambol, ul. ""Atanas Kratunov"" №83, obl.Yambol",Yambol,8600,Yambol,Bulgaria,RM,CP,N,ovine bovine porcine,CP - Cutting Plant,,
