InstallationInspireId,installationName,CountryName,City_of_Facility,Longitude,Latitude,IEDAnnexIMainActivity,IEDMainActivityName,EPRTRAnnexIMainActivity,installationStatus,reportingYear,dateOfStartOfOperation,permitURL,parent_facilityInspireId
UK.CAED/EW_EA-6964.INSTALLATION,Langley Burrell Farm - EPR/KP3837MC,United Kingdom,CHIPPENHAM,-2.0718329,51.496689,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2007-07-27,,UK.CAED/EW_EA-6964.FACILITY
UK.CAED/EW_EA-6252.INSTALLATION,Langriville Poultry Unit EPR/CP3636MJ,United Kingdom,Conningsby,-0.12753261,53.047095,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2007-09-07,,UK.CAED/EW_EA-6252.FACILITY
UK.CAED/NRW170198.INSTALLATION,Langstone Farm,United Kingdom,Chepstow,-2.717,51.72219,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a)(i),functional,2019,,https://naturalresources.wales/permits-and-permissions/check-for-a-permit-licence-or-exemption/,UK.CAED/NRW170193.FACILITY
UK.CAED/EW_EA-6690.INSTALLATION,Langton Road EPR/BT4176ID,United Kingdom,Sausthorpe,0.071724036,53.204273,6.6(b),"Intensive rearing of pigs with more than 2,000 places for production pigs (over 30 kg)",7(a),functional,2019,2007-10-12,,UK.CAED/EW_EA-6690.FACILITY
UK.CAED/EW_EA-3278.INSTALLATION,Langwathby Meat Processing Site EPR/BV3529IK,United Kingdom,Penrith,-2.6622699,54.693285,6.5,Disposal or recycling of animal carcases or animal waste with a treatment capacity exceeding 10 tonnes per day,8(a),functional,2019,2005-04-28,,UK.CAED/EW_EA-3278.FACILITY
UK.CAED/EW_EA-7379.INSTALLATION,Larchwood - EPR/CP3134JU,United Kingdom,Bridgnorth,-2.5769908,52.490843,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2018-04-03,,UK.CAED/EW_EA-7379.FACILITY
UK.CAED/EW_EA-7165.INSTALLATION,Larden Grange  EA/EPR/KP3236MJ/V002,United Kingdom,MUCH WENLOCK,-2.581508,52.554111,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2007-07-20,,UK.CAED/EW_EA-7165.FACILITY
UK.CAED/EW_EA-15998.INSTALLATION,Lark Hall Farm EPR/CP3937CD,United Kingdom,NORTHALLERTON,-1.4642474,54.328411,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2013-05-17,,UK.CAED/EW_EA-15998.FACILITY
UK.CAED/EW_EA-12869.INSTALLATION,Laurens Patisseries - EPR/KP3332GH,United Kingdom,Newark,-0.78981974,53.081835,6.4(b)(i),"Treatment and processing, other than exclusively packaging, of the following raw materials, whether previously processed or unprocessed, intended for the production of food or feed from only animal raw materials (other than exclusively milk) with a finished product production capacity greater than 75 tonnes per day",8(b),functional,2019,2010-05-04,,UK.CAED/EW_EA-12869.FACILITY
UK.CAED/EW_EA-5998.INSTALLATION,Laxfield Poultry Farm - EPR/CP3636WK,United Kingdom,Laxfield,1.3132891,51.986597,6.6(a),"Intensive rearing of poultry with more than 40,000 places for poultry",7(a),functional,2019,2015-01-29,,UK.CAED/EW_EA-5998.FACILITY
